competitionCode,teamShortName,playerName,profileUrl,seasonMatches,seasonStarts,seasonMinutes,seasonTries,seasonYellowCards,seasonRedCards,contractEndDate,careerHistory
PROD2,AGE,Mathias JEAN,https://www.allrugby.com/joueurs/mathias-jean-13854.html,1,1,80,,,,2027-06-30,Montpellier Hérault Rugby (2021 - 2022) | Sporting Union Agenais (2022 - 2027)
PROD2,AGE,Jérôme DUFOUR,https://www.allrugby.com/joueurs/jerome-dufour-7924.html,2,2,92,,,,,Stade Aurillacois Cantal Auvergne (2019 - 2021) | Provence Rugby (2021 - 2025) | Association Sportive Béziers Hérault (2025 - 2027)
PROD2,AGE,Adam BOUARÉ,https://www.allrugby.com/joueurs/adam-mountaga-bouare-14639.html,8,3,232,1,,,2027-06-30,Rugby Club Nîmois (2025 - 2025) | Stade Olympique Chambéry (2025 - 2026) | Sporting Union Agenais (2026 - 2027)
PROD2,AGE,Davit GVELESIANI,https://www.allrugby.com/joueurs/davit-gvelesiani-14002.html,3,3,159,,,,,Provence Rugby (2021 - 2025) | CS Bourgoin Jallieu Rugby (2025 - 2027)
PROD2,AGE,Alexandre EVERAERT,https://www.allrugby.com/joueurs/alexandre-everaert-15860.html,,,,,,,2027-06-30,ASM Clermont Auvergne (2019 - 2023) | Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Archil NOZADZE,https://www.allrugby.com/joueurs/archil-nozadze-18337.html,2,0,53,,,,2027-06-30,Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Davit KUNTELIA,https://www.allrugby.com/joueurs/davit-kuntelia-17765.html,3,0,41,,,,,Lelo Saracens Tbilissi (2024 - 2025)
PROD2,AGE,Bastien DARRÉ,https://www.allrugby.com/joueurs/bastien-darre-21330.html,,,,,,,2027-06-30,Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Clément SARTRE,https://www.allrugby.com/joueurs/clement-sartre-18333.html,,,,,,,2027-06-30,Rugby Club Auch (2023 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Emmanuel KOTULA,https://www.allrugby.com/joueurs/emmanuel-kotula-23431.html,,,,,,,,Provence Rugby (2020 - 2026) | Servette de Genève (2026 - 2027)
